subject,condition,explore,slope,score,explore50
A2VN3OJKI3R6HE,Up,0.141414,0.14349,0.62121,0.1702
A2Y0UPRG8O1UDC,Up,0.126984,-0.01131,0.68254,0.0426
A320QA9HJFUOZO,Up,0.168367,0.30671,0.67347,0.1111
A3E08GRFJJAT2S,Up,0.156566,0.31793,0.63131,0.2727
A3ECJAL8MQKP4G,Up,0.099448,0.02937,0.71823,0.1818
A3EPBFTXWBRHVY,Up,0.153061,0.60925,0.67857,0.2917
A3GOKNZGZGHL45,Up,0.162437,1.39879,0.6599,0.0833
A3IFGWZXI17R3D,Up,0.231959,0.78022,0.70103,0.1053
A3P74FP62XNVYI,Up,0.092308,0.50357,0.68718,0.1915
A3S3NLZV7A06QN,Up,0.189744,0.67853,0.73333,0.1042
A3UOHSUMBS2NKL,Up,0.14433,0.35424,0.75258,0.1250
A6C4QNQZ1QTUG,Up,0.207071,0.35476,0.69192,0.1250
AAGAJDP2T9DYO,Up,0.183673,0.88579,0.70918,0.3095
AET3ZZ9XL3GYY,Up,0.176768,0.12094,0.66667,0.1591
AKX5RHHO8BIUX,Up,0.146465,0.18116,0.4798,0.1702
AMT0E8J2I4J6B,Up,0.104167,0.33077,0.59375,0.1915
APBFOGL13V5Q,Up,0.42132,2.89658,0.57868,0.2000
ARR3UJTM2ZGK4,Up,0.412371,0.01629,0.53608,0.1136
AVFM2KLVSXDBC,Up,0.176768,1.83828,0.70202,0.1458
A1OF4LT1OZYTDN,Down,0.146465,0.57155,0.691919,0.2500
A1PJLZSOUQ4MIL,Down,0.164894,0.39004,0.670213,0.1489
A1V6P1ZE6Q8YEW,Down,0.296703,-0.12128,0.620879,0.1739
A2AMI7BVALOCJP,Down,0.25641,1.02339,0.712821,0.2340
A2C7UETA9SL9SK,Down,0.19171,0.75772,0.663212,0.1395
A2EI075XZT9Y2S,Down,0.208122,0.03853,0.705584,0.1667
A2NA2OJT15COZY,Down,0.075758,0.15024,0.565657,0.1702
A2OZGNW6THEMJ,Down,0.14433,0.13629,0.757732,0.1667
A2R0YYUAWNT7UD,Down,0.368687,0.27461,0.590909,0.1667
A2WQ3ZGXUF5FHO,Down,0.217617,0.62257,0.772021,0.2083
A2YFPO0N4GIS25,Down,0.177665,0.07281,0.664975,0.3696
A3862RIFFUV141,Down,0.262626,1.04279,0.651515,0.1042
A39C1BN9ZSQ0R2,Down,0.164021,0.62599,0.804233,0.4783
A3CC9BWPLAR31J,Down,0.106599,0.08169,0.619289,0.2500
A3FG68U6LZ8EGN,Down,0.19797,0.54171,0.659898,0.0682
A3NF9B2NLCLZWT,Down,0.15847,0.07356,0.79235,0.3125
A3QSJY1FFN0N6V,Down,0.106599,0.00232,0.664975,0.2444
AHV4U78TUUDKI,Down,0.267016,1.24089,0.712042,0.1778
A11DOG3Y9H8N68,Down,0.15544,0.56634,0.787565,0.0889
A17OINLIDZ0C14,Down,0.336735,0.32413,0.607143,0.1087
A1GHCVQ5XWM3JL,Down,0.187845,0.43657,0.734807,0.1522
A1HBIE5LRTQK1L,Down,0.269036,0.99757,0.725888,0.0833
A1IHBUZ3X5CV6P,Down,0.265306,1.45699,0.683673,0.1707
A1J7FQKGZBWDIN,Down,0.189744,0.61958,0.574359,0.2340
A1YWJ4T2G7ALB0,Down,0.233503,1.35955,0.639594,0.1875
A24IF41IP6LT55,Down,0.204082,0.28006,0.617347,0.1915
A2DLH5XGBNYXWS,Down,0.218274,2.07993,0.730964,0.2083
A2ICETGAS02JWD,Down,0.106061,0.03901,0.691919,0.1875
A2LV73C1ILVHSM,Down,0.28934,0.59934,0.654822,0.1463
A2PG36NH7T0ZIJ,Down,0.187817,0.26498,0.568528,0.2917
A2STG331R3P3FK,Down,0.171717,2.31139,0.676768,0.0625
A3P2LT53J1GUBG,Down,0.214286,0.36327,0.790816,0.1538
A544VW8YTMPJP,Down,0.216495,1.12026,0.675258,0.1915
A6FMGGN74ZJ7C,Down,0.248731,0.60774,0.685279,0.1522
AAKL8L5X64LWD,Down,0.22335,0.70823,0.71066,0.3830
ABREDVJ6LQDOF,Down,0.176768,0.15782,0.661616,0.1522
AE0TVG579FFR9,Down,0.15736,0.30346,0.670051,0.1667
AEXYBW3COL9JM,Down,0.151515,0.438,0.813131,0.0000
AQVP5IH2S6WCB,Down,0.152284,0.20928,0.654822,0.1667
AVI7K876BV3QL,Down,0.164948,0.55758,0.726804,0.0811
A173LV77LF3SHB,Down,0.277778,0.57618,0.666667,0.1489
A18SXC3JEN1O0U,Down,0.042553,-0.0385,0.654255,0.2727
A1N783M0TDDHQA,Down,0.136364,0.59588,0.782828,0.3913
A1R0689JPSQ3OF,Down,0.253807,0.20307,0.670051,0.1556
A1R2W9OYQQRZTS,Down,0.193548,0.38966,0.784946,0.2500
A1WG3KVS2YR4G0,Down,0.161616,1.07139,0.732323,0.0000
A1ZPYSX30BDIVW,Down,0.206186,0.30847,0.721649,0.0889
A2A4EX36X0JB4R,Down,0.153846,0.1729,0.687179,0.1556
